id,premis,hipotesis,label
0,Ahli paleontologi Thomas Mors dan timnya sedang dalam misi untuk menemukan fosil mamalia yang menghuni Antartika sebelum periode pembekuan .,Thomas Mors adalah ahli paleontologi .,entailment
1,Ahli paleontologi Thomas Mors dan timnya sedang dalam misi untuk menemukan fosil mamalia yang menghuni Antartika sebelum periode pembekuan .,Thomas Mors memimpin timnya dengan baik .,neutral
2,Ahli paleontologi Thomas Mors dan timnya sedang dalam misi untuk menemukan fosil mamalia yang menghuni Antartika sebelum periode pembekuan .,Thomas Mors seorang diri sedang dalam misi untuk menemukan fosil mamalia yang menghuni Antartika sebelum periode pembekuan .,contradiction
3,'Biaya yang diperlukan saat itu adalah sebesar 16 juta US $ dengan nilai dolar saat itu .',Biaya yang diperlukan bernilai dolar saat itu,entailment
4,'Biaya yang diperlukan saat itu adalah sebesar 16 juta US $ dengan nilai dolar saat itu .',Biaya itu belum terkumpul,netral
5,'Biaya yang diperlukan saat itu adalah sebesar 16 juta US $ dengan nilai dolar saat itu .',Biaya yang diperlukan adalah 15 juta US $,contradiction
6,"Kalau ingin memandangi panorama laut dan sunset, Goa Langse adalah destinasi wisata di Jogja yang gratis dan pas untuk dituju. ",Panorama Laut dapat ditemukan di Goa Langse .,entailment
7,"Kalau ingin memandangi panorama laut dan sunset, Goa Langse adalah destinasi wisata di Jogja yang gratis dan pas untuk dituju. ",Goa Langse dekat laut .,neutral
8,"Kalau ingin memandangi panorama laut dan sunset, Goa Langse adalah destinasi wisata di Jogja yang gratis dan pas untuk dituju. ",Tidak ada sunset di Goa Langse .,contradiction
9,"Jakarta , CNN Indonesia - - Keluarga mendiang Prince menuduh layanan musik streaming Tidal memasukkan karya milik sang penyanyi legendaris tanpa izin .",Timbal dituduh mencuri karya orang lain.,Entailment
10,"Jakarta , CNN Indonesia - - Keluarga mendiang Prince menuduh layanan musik streaming Tidal memasukkan karya milik sang penyanyi legendaris tanpa izin .",Timbal sudah memberikan klarifikasi atas tuduhan tersebut.,Neutral
11,"Jakarta , CNN Indonesia - - Keluarga mendiang Prince menuduh layanan musik streaming Tidal memasukkan karya milik sang penyanyi legendaris tanpa izin .",Keluarga mendiang Prince sudah memberi izin kepada TImbal untuk menggunakan lagu milik Prince.,Contradiction
12,"KPK pernah memanggil Yasonna sebanyak tiga kali untuk diperiksa sebagai saksi bagi dua tersangka e - KTP , Irman dan Sugiharto . Namun Yasonna tak pernah memenuhi panggilan .",Yasonna tidak pernah memenuhi panggilan .,entailment
13,"KPK pernah memanggil Yasonna sebanyak tiga kali untuk diperiksa sebagai saksi bagi dua tersangka e - KTP , Irman dan Sugiharto . Namun Yasonna tak pernah memenuhi panggilan .",Irman dan Sugharto mengkorupsi e - KTP .,neutral
14,"KPK pernah memanggil Yasonna sebanyak tiga kali untuk diperiksa sebagai saksi bagi dua tersangka e - KTP , Irman dan Sugiharto . Namun Yasonna tak pernah memenuhi panggilan .",Irman dan Sugiharto bukan tersangka e - KTP .,contradiction
15,"Namun Herrera nampaknya tidak tertarik dengan tawaran Barcelona itu karena ia ingin memenangkan lebih banyak gelar bersama Setan Merah . "" Saya sangat berterima kasih kepada Manchester United karena mereka mendatangkan saya dari Spanyol tiga tahun yang lalu , "" ungkap Herrera kepada Sky Sports News .",Herrera didatangkan Manchester United dari Spanyol tiga tahun lalu .,entailment
